type_of_material	headline	web_url	pub_date	section_name
News	Can long-term care employers require staff members to be vaccinated?	https://www.nytimes.com/2021/03/05/world/can-long-term-care-employers-require-staff-members-to-be-vaccinated.html	2021-03-05T13:27:22+0000	World
News	More Than 100 Migrants Are Feared Dead as Boat Capsizes in Mediterranean	https://www.nytimes.com/2021/04/23/world/europe/migrants-dead-mediterranean-libya.html	2021-04-23T14:52:30+0000	World
News	Kevin McCarthy Refuses Interview Request From Jan. 6 Committee	https://www.nytimes.com/2022/01/12/us/politics/kevin-mccarthy-jan-6-committee.html	2022-01-12T21:03:22+0000	U.S.
News	Ukraine’s military is badly outgunned by Russia despite the West’s support.	https://www.nytimes.com/2022/02/24/world/europe/ukraine-war-military.html	2022-02-24T08:42:49+0000	World
News	Mask mandates were extended for U.S. transit, but dropped in many other settings: The week in Covid news.	https://www.nytimes.com/2022/03/12/world/mask-mandates-for-transit-in-the-us-were-extended-as-cities-and-states-let-them-drop-in-other-settings-the-week-in-covid-news.html	2022-03-12T16:00:04+0000	World
News	After Bodies Are Found, Some Say Canada Day Is Nothing to Celebrate	https://www.nytimes.com/2021/06/28/world/americas/indigenous-graves.html	2021-06-28T19:51:31+0000	World
News	At Least 41 Prisoners, Some Trapped in Cells, Die in a Fire in Indonesia	https://www.nytimes.com/2021/09/08/world/asia/indonesia-prison-fire.html	2021-09-08T04:40:06+0000	World
News	In a viral video, Schwarzenegger links the Capitol riot to a rampage that was a prelude to the Holocaust.	https://www.nytimes.com/2021/01/10/us/politics/arnold-schwarzenegger-video.html	2021-01-10T19:02:25+0000	U.S.
Letter	When Professors Have Affairs With Students	https://www.nytimes.com/2021/09/19/opinion/letters/professors-students-sex.html	2021-09-19T15:00:08+0000	Opinion
News	Woman’s Body Recovered From Mudslide in British Columbia as Evacuations Continue	https://www.nytimes.com/2021/11/16/world/canada/evacuations-mudslides-british-columbia.html	2021-11-16T19:23:50+0000	World
News	On the Exodus West, Ukrainians Flee Hardship for an Uncertain Future	https://www.nytimes.com/2022/03/03/world/europe/ukraine-refugees-exodus.html	2022-03-03T20:11:48+0000	World
News	New York weighs using the National Guard to replace unvaccinated health care workers.	https://www.nytimes.com/2021/09/25/world/americas/health-workers-ny-vaccine.html	2021-09-25T21:40:22+0000	World
News	Praise for Jan. 6 Costs Virginia Deputy Attorney General Her Job	https://www.nytimes.com/2022/02/10/us/monique-miles-virginia-resigns.html	2022-02-11T03:07:09+0000	U.S.
News	Iraq’s F-16s Grounded After U.S. Contractor Pulls Maintenance Crews	https://www.nytimes.com/2021/05/10/world/middleeast/iraq-f-16s-lockheed-martin.html	2021-05-10T14:31:50+0000	World
briefing	Explaining the Reparations Effort	https://www.nytimes.com/2021/06/03/us/explaining-the-reparations-effort.html	2021-06-03T13:01:33+0000	U.S.
News	Biden Administration to Repeal Trump Rule Aimed at Curbing E.P.A.’s Power	https://www.nytimes.com/2021/05/13/climate/EPA-cost-benefit-pollution.html	2021-05-13T14:01:32+0000	Climate
News	After an unruly passenger was escorted off a flight, an officer identified him as a Capitol rioter.	https://www.nytimes.com/2021/01/22/us/delta-flight-capitol-rioter.html	2021-01-22T19:38:12+0000	U.S.
Op-Ed	Facebook Was Down for a Few Hours. Should It Go Away Forever?	https://www.nytimes.com/2021/10/05/opinion/facebook-whatsapp-instagram.html	2021-10-05T22:00:05+0000	Opinion
News	5 Reader Comments Just Cost a News Website $124,000	https://www.nytimes.com/2021/02/19/world/asia/malaysia-press-freedom-guilty.html	2021-02-19T07:37:42+0000	World
News	Only a fraction of U.S. health care workers are risking their jobs over vaccinations.	https://www.nytimes.com/2021/10/07/science/covid-us-health-workers-vaccination.html	2021-10-07T11:00:13+0000	Science
News	Wildfires Ravage Sardinia in ‘a Disaster Without Precedent’	https://www.nytimes.com/2021/07/26/world/europe/wildfires-italy-sardinia.html	2021-07-26T13:35:49+0000	World
News	In Twilight of Life, Civil Rights Activists Feel ‘Urgency to Tell Our History’	https://www.nytimes.com/2022/02/19/us/civil-rights-movement-oral-history.html	2022-02-19T10:30:07+0000	U.S.
News	How Did Allison Highwolf Die? Distrust Fuels a Mystery in Indian Country.	https://www.nytimes.com/2021/07/11/us/politics/allison-highwolf-indian-country.html	2021-07-11T07:00:11+0000	U.S.
News	Nevada Is Moving to Vote Before Iowa in 2024. Harry Reid Makes the Case.	https://www.nytimes.com/2021/02/22/us/politics/harry-reid-nevada.html	2021-02-22T10:00:09+0000	U.S.
News	How Many Americans Support Political Violence?	https://www.nytimes.com/2022/01/05/us/politics/americans-political-violence-capitol-riot.html	2022-01-06T00:00:04+0000	U.S.
Letter	George Floyd ‘Changed the World,’ and Other Reflections	https://www.nytimes.com/2021/04/21/opinion/letters/george-floyd-derek-chauvin.html	2021-04-21T18:30:59+0000	Opinion
News	Stock Trading Ban for Lawmakers Gains Momentum on Capitol Hill	https://www.nytimes.com/2022/02/09/us/politics/pelosi-stock-trading-congress.html	2022-02-09T16:57:33+0000	U.S.
News Analysis	Israel’s New Leaders Tilt Right With Settler Deal, Hinting at Approach	https://www.nytimes.com/2021/07/01/world/middleeast/israel-settler-deal-bennett.html	2021-07-01T08:42:07+0000	World
News	Nicholas, now a tropical depression, brings heavy rain to the flood-battered South.	https://www.nytimes.com/2021/09/15/us/nicholas-forecast-path-louisiana.html	2021-09-15T09:02:45+0000	U.S.
News	Man Survives Flight From Guatemala to Miami in Plane’s Landing Gear	https://www.nytimes.com/2021/11/28/us/stowaway-miami-guatemala.html	2021-11-28T21:09:27+0000	U.S.
News	‘So Many Dimensions’: A Drought Study Underlines the Complexity of Climate	https://www.nytimes.com/2021/12/01/climate/climate-change-madagascar-drought.html	2021-12-01T23:05:46+0000	Climate
News	The Jan. 6 committee subpoenaed top Trump advisers, ramping up its investigation.	https://www.nytimes.com/2021/09/23/us/politics/jan-6-committee-trump-white-house.html	2021-09-23T23:40:32+0000	U.S.
News	Chamber of Commerce calls Trump’s conduct ‘inexcusable’ and vows to curb certain donations.	https://www.nytimes.com/2021/01/12/us/chamber-of-commerce-trump.html	2021-01-12T22:12:59+0000	U.S.
Letter	Is Truth the Best Medicine for Dying Patients?	https://www.nytimes.com/2021/10/23/opinion/letters/doctors-patients-death.html	2021-10-23T15:30:05+0000	Opinion
Editorial	Fresh Hope at Long Last for Libyans	https://www.nytimes.com/2021/05/16/opinion/libya-biden-elections.html	2021-05-16T23:19:44+0000	Opinion
